Schweitzer Engineering Laboratories
Notable Capital
Crane Venture Partners
FM Capital
Rackhouse Venture Capital
Pioneer Fund
3L Capital
OpenView Venture Partners
Struck Capital
Julia Lipton
Zain S Hasan Charitable Remainder Trust
Hack VC
Signum Capital
Amgen Ventures
another.vc
Springtide Ventures
Maya Valley Ventures
Polka Bridge
Keysight Technologies
FJ Labs
Pentland Ventures
Alameda Research
Moonfire
Karim Atiyeh
Yamato Holdings
8VC
Lam Capital
Factorial Funds
DIB Ventures
TQ Ventures
Preface Ventures
Konvoy Ventures
Kernel Ventures
Green Sands Equity
Louis Vachon
CME Ventures
Position Ventures
Nvidia
HAX
ESAS Ventures
Co-Stone Capital
Crypto.com Capital
BoxGroup
Golden Ventures
Red Building Capital
Jelix Ventures
Multicoin Capital
ARK Venture Fund
Dorm Room Fund
PetRock Capital
Recall Capital
Suji Yan
FoundersX Ventures
Michael Sutton
Kultepe Yatirim
Epson X Investment Corporation
Accomplice VC
Sam Branson
Koch
Charlie Cheever
FirstMark Capital
SCF Partners
Yann LeCun
Hewlett Packard Pathfinder
Blocksync Ventures
Clearvision Ventures
Nicholas Frosst
Arali Ventures
